Seed 7 | objective hybrid-as | selector pareto-live-gate | linear bc 30000 | linear ppo 40000 | neural off | neural bc 30000 | neural ppo 40000 | workers 11

BC linear    [#####-----------------------]  19.0% 5696/30000 |   37.4/s | elapsed 2m 32s | eta 10m 50s | process workers | examples 572550 | q 256492 t 63828 r 34752
BC linear    [#####-----------------------]  19.2% 5760/30000 |   37.7/s | elapsed 2m 33s | eta 10m 43s | process workers | examples 578373 | q 259181 t 64331 r 35119
BC linear    [#####-----------------------]  19.4% 5824/30000 |   38.0/s | elapsed 2m 33s | eta 10m 36s | process workers | examples 584335 | q 261762 t 64885 r 35518
BC linear    [#####-----------------------]  19.6% 5888/30000 |   38.4/s | elapsed 2m 33s | eta 10m 27s | process workers | examples 590343 | q 264390 t 65427 r 35904
BC linear    [#####-----------------------]  19.8% 5952/30000 |   38.8/s | elapsed 2m 34s | eta 10m 20s | process workers | examples 596639 | q 267074 t 66222 r 36288
BC linear    [#####-----------------------]  20.1% 6016/30000 |   39.2/s | elapsed 2m 34s | eta 10m 12s | process workers | examples 602986 | q 269802 t 67186 r 36655
BC linear    [#####-----------------------]  20.5% 6144/30000 |   40.0/s | elapsed 2m 34s | eta 9m 57s | process workers | examples 615407 | q 275327 t 68586 r 37453 
BC linear    [#####-----------------------]  20.7% 6208/30000 |   40.1/s | elapsed 2m 35s | eta 9m 53s | process workers | examples 622046 | q 278304 t 69401 r 37847 
BC linear    [#####-----------------------]  20.9% 6272/30000 |   40.5/s | elapsed 2m 35s | eta 9m 47s | process workers | examples 628495 | q 281311 t 69911 r 38261 
BC linear    [#####-----------------------]  21.1% 6336/30000 |   40.8/s | elapsed 2m 35s | eta 9m 40s | process workers | examples 635369 | q 284288 t 70999 r 38609 
BC linear    [#####-----------------------]  21.3% 6400/30000 |   38.0/s | elapsed 2m 48s | eta 10m 21s | process workers | examples 641293 | q 286945 t 71394 r 39000
BC linear    [######----------------------]  21.5% 6464/30000 |   38.3/s | elapsed 2m 49s | eta 10m 15s | process workers | examples 647343 | q 289519 t 72355 r 39363
BC linear    [######----------------------]  21.8% 6528/30000 |   38.6/s | elapsed 2m 49s | eta 10m 9s | process workers | examples 653757 | q 292228 t 73356 r 39755 
BC linear    [######----------------------]  22.0% 6592/30000 |   38.9/s | elapsed 2m 49s | eta 10m 1s | process workers | examples 659683 | q 295138 t 73740 r 40130 
BC linear    [######----------------------]  22.2% 6656/30000 |   39.2/s | elapsed 2m 50s | eta 9m 55s | process workers | examples 666144 | q 297996 t 74797 r 40484 
BC linear    [######----------------------]  22.4% 6720/30000 |   39.6/s | elapsed 2m 50s | eta 9m 48s | process workers | examples 672993 | q 300994 t 75778 r 40871 
BC linear    [######----------------------]  22.6% 6784/30000 |   39.9/s | elapsed 2m 50s | eta 9m 42s | process workers | examples 679682 | q 303821 t 76875 r 41255 
BC linear    [######----------------------]  22.8% 6848/30000 |   40.3/s | elapsed 2m 50s | eta 9m 35s | process workers | examples 686033 | q 306876 t 77138 r 41662 
BC linear    [######----------------------]  23.0% 6912/30000 |   40.5/s | elapsed 2m 51s | eta 9m 30s | process workers | examples 692535 | q 309781 t 77909 r 42043 
BC linear    [######----------------------]  23.3% 6976/30000 |   40.9/s | elapsed 2m 51s | eta 9m 23s | process workers | examples 698853 | q 312699 t 78433 r 42456 
BC linear    [######----------------------]  23.5% 7040/30000 |   41.1/s | elapsed 2m 51s | eta 9m 18s | process workers | examples 705580 | q 315693 t 79522 r 42834 
BC linear    [######----------------------]  23.7% 7104/30000 |   38.2/s | elapsed 3m 6s | eta 10m 0s | process workers | examples 711371 | q 318315 t 79983 r 43197  
BC linear    [######----------------------]  23.9% 7168/30000 |   38.5/s | elapsed 3m 6s | eta 9m 53s | process workers | examples 717560 | q 320988 t 80692 r 43577  
BC linear    [######----------------------]  24.3% 7296/30000 |   39.2/s | elapsed 3m 6s | eta 9m 40s | process workers | examples 729464 | q 326156 t 82153 r 44321  
BC linear    [######----------------------]  24.5% 7360/30000 |   39.3/s | elapsed 3m 7s | eta 9m 36s | process workers | examples 735638 | q 328965 t 82663 r 44736  
BC linear    [######----------------------]  24.7% 7424/30000 |   39.6/s | elapsed 3m 7s | eta 9m 30s | process workers | examples 741756 | q 331701 t 83235 r 45116  
BC linear    [#######---------------------]  25.4% 7616/30000 |   40.6/s | elapsed 3m 8s | eta 9m 11s | process workers | examples 760619 | q 340158 t 85230 r 46284  
BC linear    [#######---------------------]  25.6% 7680/30000 |   40.9/s | elapsed 3m 8s | eta 9m 6s | process workers | examples 767350 | q 343216 t 86202 r 46655   
BC linear    [#######---------------------]  26.0% 7808/30000 |   38.6/s | elapsed 3m 22s | eta 9m 35s | process workers | examples 780061 | q 348914 t 87639 r 47443 
BC linear    [#######---------------------]  26.5% 7936/30000 |   39.1/s | elapsed 3m 23s | eta 9m 24s | process workers | examples 792547 | q 354657 t 88921 r 48191 
BC linear    [#######---------------------]  26.7% 8000/30000 |   39.4/s | elapsed 3m 23s | eta 9m 18s | process workers | examples 798577 | q 357381 t 89550 r 48562 
BC linear    [#######---------------------]  26.9% 8064/30000 |   39.7/s | elapsed 3m 23s | eta 9m 13s | process workers | examples 804535 | q 359974 t 90201 r 48916 
BC linear    [#######---------------------]  27.1% 8128/30000 |   40.0/s | elapsed 3m 23s | eta 9m 7s | process workers | examples 810962 | q 362847 t 91063 r 49286  
BC linear    [#######---------------------]  27.7% 8320/30000 |   40.9/s | elapsed 3m 23s | eta 8m 50s | process workers | examples 829949 | q 371400 t 92969 r 50464 
BC linear    [#######---------------------]  27.9% 8384/30000 |   41.1/s | elapsed 3m 24s | eta 8m 46s | process workers | examples 836659 | q 374391 t 93853 r 50855 
BC linear    [#######---------------------]  28.4% 8512/30000 |   39.0/s | elapsed 3m 38s | eta 9m 11s | process workers | examples 849142 | q 379781 t 95655 r 51614 
BC linear    [########--------------------]  28.6% 8576/30000 |   39.1/s | elapsed 3m 39s | eta 9m 7s | process workers | examples 855012 | q 382304 t 96421 r 51969  
BC linear    [########--------------------]  28.8% 8640/30000 |   39.4/s | elapsed 3m 39s | eta 9m 3s | process workers | examples 861000 | q 384981 t 97116 r 52341  
BC linear    [########--------------------]  29.2% 8768/30000 |   39.9/s | elapsed 3m 40s | eta 8m 53s | process workers | examples 873031 | q 390644 t 98176 r 53050 
BC linear    [########--------------------]  29.4% 8832/30000 |   40.1/s | elapsed 3m 40s | eta 8m 48s | process workers | examples 879359 | q 393389 t 98822 r 53463 
BC linear    [########--------------------]  29.7% 8896/30000 |   40.3/s | elapsed 3m 41s | eta 8m 43s | process workers | examples 885931 | q 396196 t 99975 r 53830 
